NAME,population
Alachua,278468
Baker,28259
Bay,175216
Bradford,28303
Brevard,606612
Broward,1944375
Calhoun,13648
Charlotte,186847
Citrus,153843
Clay,218245
Collier,375752
Columbia,69698
DeSoto,33976
Dixie,16759
Duval,995567
Escambia,321905
Flagler,115378
Franklin,12451
Gadsden,43826
Gilchrist,17864
Glades,12126
Gulf,14192
Hamilton,14004
Hardee,25327
Hendry,39619
Hernando,194515
Highlands,101235
Hillsborough,1459762
Holmes,19653
Indian River,159788
Jackson,47319
Jefferson,14510
Lafayette,8226
Lake,383956
Lee,760822
Leon,292198
Levy,42915
Liberty,7974
Madison,17968
Manatee,399710
Marion,375908
Martin,158431
Miami-Dade,2701767
Monroe,82874
Nassau,90352
Okaloosa,211668
Okeechobee,39644
Orange,1429908
Osceola,388656
Palm Beach,1492191
Pasco,561891
Pinellas,959107
Polk,725046
Putnam,73321
St. Johns,273425
St. Lucie,329226
Santa Rosa,188000
Sarasota,434006
Seminole,470856
Sumter,129752
Suwannee,43474
Taylor,21796
Union,16147
Volusia,553543
Wakulla,33764
Walton,75305
Washington,25318
