NAME,population
Albany,314848
Allegany,46091
Bronx,1472654
Broome,198683
Cattaraugus,77220
Cayuga,76176
Chautauqua,127657
Chemung,84148
Chenango,47220
Clinton,79843
Columbia,61570
Cortland,46809
Delaware,44308
Dutchess,295824
Erie,954236
Essex,37381
Franklin,47155
Fulton,53424
Genesee,58388
Greene,47188
Hamilton,5107
Herkimer,61239
Jefferson,116721
Kings,2736074
Lewis,26296
Livingston,61834
Madison,68409
Monroe,759443
Montgomery,49532
Nassau,1395774
New York,1694251
Niagara,212666
Oneida,232125
Onondaga,476516
Ontario,112458
Orange,401310
Orleans,40352
Oswego,117124
Otsego,59493
Putnam,97406
Queens,2405464
Rensselaer,161130
Richmond,495747
Rockland,338876
St. Lawrence,108505
Saratoga,235509
Schenectady,158061
Schoharie,29714
Schuyler,17820
Seneca,33242
Steuben,93584
Suffolk,1525920
Sullivan,78618
Tioga,48555
Tompkins,105740
Ulster,181851
Warren,65737
Washington,61204
Wayne,91123
Westchester,1004457
Wyoming,40431
Yates,24913
